,funding_8h,current_funding,best_bid_amount,best_ask_amount,estimated_delivery_price,best_bid_price,best_ask_price,interest_value,open_interest,max_price,min_price,last_price,settlement_price,instrument_name,mark_price,index_price,state,timestamp,stats.volume_notional,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,bid_iv,ask_iv,underlying_index,underlying_price,mark_iv,interest_rate,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,t,strike,m
BTC-3MAY24-50000-P,,,4.4,16.2,64056.77,0.0005,0.0006,,704.9,0.0165,0.0001,0.0005,0.0006153,BTC-3MAY24-50000-P,0.0006,64056.77,open,1714275814605,,2192.43,48.3,-16.6667,0.0005,0.0009,95.2,97.68,BTC-3MAY24,64108.08,96.51,0.0,-0.12523,-24.16791,2.59318,0.0,-0.01322,5.0,50000.0,0.24807808585861763
BTC-3MAY24-52000-P,,,0.5,8.8,64057.12,0.0006,0.0007,,505.6,0.0165,0.0001,0.0009,0.0009571,BTC-3MAY24-52000-P,0.0006,64057.12,open,1714275816619,,2335.91,36.0,-18.1818,0.0009,0.0012,84.11,86.09,BTC-3MAY24,64108.47,84.33,0.0,-0.15475,-25.42812,3.12255,1e-05,-0.01641,5.0,52000.0,0.20885737270533622
BTC-3MAY24-54000-P,,,1.2,6.7,64056.88,0.0008,0.001,,333.0,0.0185,0.0001,0.0008,0.00158926,BTC-3MAY24-54000-P,0.0009,64056.88,open,1714275822663,,1781.08,22.4,-38.4615,0.0008,0.0013,74.14,76.97,BTC-3MAY24,64107.75,75.24,0.0,-0.23559,-32.45885,4.46728,1e-05,-0.02503,5.0,54000.0,0.17111704472248931
BTC-3MAY24-56000-P,,,12.7,5.6,64069.1,0.0013,0.0017,,452.2,0.023,0.0001,0.0013,0.00288348,BTC-3MAY24-56000-P,0.0015,64069.1,open,1714275824891,,950.13,7.0,-55.1724,0.0013,0.0029,66.22,69.85,BTC-3MAY24,64108.59,68.26,0.0,-0.41581,-47.02935,7.13427,2e-05,-0.0442,5.0,56000.0,0.1347494005516144
BTC-3MAY24-57000-P,,,9.5,2.3,64073.74,0.0018,0.0021,,334.8,0.025,0.0001,0.0023,0.00384041,BTC-3MAY24-57000-P,0.002,64073.74,open,1714275825683,,1263.33,6.3,-39.4737,0.0023,0.0038,63.25,65.43,BTC-3MAY24,64121.14,64.48,0.0,-0.54586,-55.18898,8.86409,2e-05,-0.05804,5.0,57000.0,0.11704982345221354
BTC-3MAY24-58000-P,,,16.2,4.7,64075.24,0.0025,0.0029,,514.8,0.0285,0.0001,0.0034,0.00520758,BTC-3MAY24-58000-P,0.0027,64075.24,open,1714275828069,,16930.36,52.5,-27.6596,0.0034,0.0055,60.21,62.49,BTC-3MAY24,64125.43,61.58,0.0,-0.75209,-67.48542,11.3481,3e-05,-0.07994,5.0,58000.0,0.09965808074034431
BTC-3MAY24-59000-P,,,1.0,0.6,64071.17,0.0036,0.004,,2008.5,0.032,0.0001,0.0042,0.00703176,BTC-3MAY24-59000-P,0.0038,64071.17,open,1714275829744,,11219.69,31.8,-30.0,0.0042,0.007,57.69,59.48,BTC-3MAY24,64127.42,58.79,0.0,-1.03786,-81.65972,14.38485,4e-05,-0.11025,5.0,59000.0,0.0825636473810442
BTC-3MAY24-60000-P,,,36.9,65.6,64064.21,0.005,0.006,,1422.5,0.0365,0.0001,0.005,0.0095106,BTC-3MAY24-60000-P,0.0054,64064.21,open,1714275830717,,74705.77,148.0,-41.1765,0.0049,0.0095,54.52,58.08,BTC-3MAY24,64123.53,56.17,0.0,-1.43417,-97.52843,17.98118,5e-05,-0.15221,5.0,60000.0,0.06575652906466302
BTC-3MAY24-61000-P,,,4.5,1.8,64066.19,0.0075,0.008,,344.0,0.0425,0.0001,0.008,0.01306958,BTC-3MAY24-61000-P,0.0078,64066.19,open,1714275833739,,9639.85,12.9,-33.3333,0.008,0.013,52.91,54.37,BTC-3MAY24,64118.92,53.81,0.0,-1.97162,-114.03944,21.9449,7e-05,-0.20896,5.0,61000.0,0.04922722711345241
BTC-3MAY24-62000-P,,,0.6,62.1,64065.75,0.011,0.012,,292.8,0.0495,0.0001,0.0135,0.01813296,BTC-3MAY24-62000-P,0.0113,64065.75,open,1714275834745,,46554.06,42.9,-22.8571,0.0135,0.0185,51.34,53.82,BTC-3MAY24,64118.49,52.12,0.0,-2.68211,-130.17534,25.86435,9e-05,-0.28357,5.0,62000.0,0.03296670624167212
BTC-3MAY24-63000-P,,,0.4,31.9,64066.23,0.016,0.017,,253.9,0.058,0.0008,0.0165,0.02491408,BTC-3MAY24-63000-P,0.0164,64066.23,open,1714275836760,,26895.9,18.7,-29.7872,0.0155,0.026,50.34,52.55,BTC-3MAY24,64118.09,51.13,0.0,-3.55717,-142.93362,28.95148,0.0001,-0.37473,5.0,63000.0,0.01696636489523093
BTC-3MAY24-64000-P,,,34.7,16.2,64068.07,0.0225,0.024,,325.6,0.068,0.0021,0.0245,0.03368354,BTC-3MAY24-64000-P,0.0232,64068.07,open,1714275840787,,38937.64,21.2,-24.6154,0.0245,0.035,49.37,52.53,BTC-3MAY24,64121.28,50.94,0.0,-4.53629,-149.59619,30.40991,0.0001,-0.47546,5.0,64000.0,0.0012180079270918383
BTC-3MAY24-65000-C,,,50.8,1.8,64065.08,0.0175,0.0185,,339.8,0.058,0.001,0.018,0.01224883,BTC-3MAY24-65000-C,0.0182,64065.08,open,1714275842923,,37891.66,50.3,38.4615,0.0105,0.0195,49.64,51.79,BTC-3MAY24,64117.96,51.2,0.0,3.68409,-147.84768,29.90071,0.0001,0.42327,5.0,65000.0,-0.014286178608873427
BTC-3MAY24-66000-C,,,78.3,0.3,64066.94,0.0125,0.0135,,485.2,0.051,0.0001,0.0145,0.00828536,BTC-3MAY24-66000-C,0.0133,64066.94,open,1714275845155,,10287.57,17.6,61.1111,0.0065,0.0145,50.67,52.99,BTC-3MAY24,64117.34,52.51,0.0,2.90841,-140.74143,27.75754,9e-05,0.33305,5.0,66000.0,-0.029553650739661878
BTC-3MAY24-67000-C,,,77.4,0.6,64066.63,0.009,0.01,,676.7,0.045,0.0001,0.0095,0.00563718,BTC-3MAY24-67000-C,0.0098,64066.63,open,1714275847298,,12027.16,30.8,58.3333,0.0046,0.011,52.27,54.88,BTC-3MAY24,64119.11,54.24,0.0,2.26237,-129.34916,24.69617,8e-05,0.25848,5.0,67000.0,-0.0445915281042024
