tick_size_steps,quote_currency,min_trade_amount,counter_currency,settlement_period,settlement_currency,block_trade_tick_size,block_trade_min_trade_amount,block_trade_commission,option_type,creation_timestamp,instrument_id,base_currency,tick_size,contract_size,strike,is_active,expiration_timestamp,instrument_type,taker_commission,maker_commission,kind,rfq,price_index
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-25 08:00:16,320224,BTC,0.0001,1.0,66000.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-25 08:00:16,320225,BTC,0.0001,1.0,66000.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-25 08:00:16,320226,BTC,0.0001,1.0,66500.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-25 08:00:16,320227,BTC,0.0001,1.0,66500.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-25 08:00:16,320228,BTC,0.0001,1.0,67000.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-25 08:00:16,320229,BTC,0.0001,1.0,67000.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-25 08:00:16,320230,BTC,0.0001,1.0,67500.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-25 08:00:16,320231,BTC,0.0001,1.0,67500.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-25 08:00:16,320232,BTC,0.0001,1.0,68000.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-25 08:00:16,320233,BTC,0.0001,1.0,68000.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-25 20:48:00,320466,BTC,0.0001,1.0,68500.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-25 20:48:00,320467,BTC,0.0001,1.0,68500.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-25 08:00:16,320234,BTC,0.0001,1.0,69000.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-25 08:00:16,320235,BTC,0.0001,1.0,69000.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-25 08:00:16,320236,BTC,0.0001,1.0,70000.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-25 08:00:16,320237,BTC,0.0001,1.0,70000.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-25 08:00:16,320238,BTC,0.0001,1.0,71000.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-25 08:00:16,320239,BTC,0.0001,1.0,71000.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-25 08:00:16,320240,BTC,0.0001,1.0,72000.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-25 08:00:16,320241,BTC,0.0001,1.0,72000.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-25 08:00:16,320242,BTC,0.0001,1.0,73000.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-25 08:00:16,320243,BTC,0.0001,1.0,73000.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-25 08:00:16,320244,BTC,0.0001,1.0,74000.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-25 08:00:16,320245,BTC,0.0001,1.0,74000.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-25 08:00:16,320246,BTC,0.0001,1.0,75000.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-25 08:00:16,320247,BTC,0.0001,1.0,75000.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-27 01:51:00,320860,BTC,0.0001,1.0,56000.0,True,2024-04-29 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-27 01:51:00,320861,BTC,0.0001,1.0,56000.0,True,2024-04-29 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-26 08:00:21,320637,BTC,0.0001,1.0,57000.0,True,2024-04-29 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-26 08:00:21,320638,BTC,0.0001,1.0,57000.0,True,2024-04-29 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-26 08:00:21,320639,BTC,0.0001,1.0,58000.0,True,2024-04-29 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-26 08:00:21,320640,BTC,0.0001,1.0,58000.0,True,2024-04-29 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-26 08:00:21,320641,BTC,0.0001,1.0,59000.0,True,2024-04-29 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-26 08:00:21,320642,BTC,0.0001,1.0,59000.0,True,2024-04-29 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-26 08:00:21,320643,BTC,0.0001,1.0,60000.0,True,2024-04-29 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-26 08:00:21,320644,BTC,0.0001,1.0,60000.0,True,2024-04-29 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-27 04:32:00,320878,BTC,0.0001,1.0,60500.0,True,2024-04-29 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-27 04:32:00,320879,BTC,0.0001,1.0,60500.0,True,2024-04-29 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
